year,region,substance,study,mean,sd,citation
2011,China,CFC-11,OFED,13.03081035,5.06743565,
2012,China,CFC-11,OFED,13.29332386,5.695442002,
2013,China,CFC-11,OFED,14.07770606,5.588478655,
2014,China,CFC-11,OFED,12.09119625,3.991778159,
2015,China,CFC-11,OFED,13.19754102,5.815852631,
2016,China,CFC-11,OFED,11.64827756,4.241090097,
2017,China,CFC-11,OFED,14.9387012,4.985892863,
2018,China,CFC-11,OFED,16.32065526,5.639407021,
2019,China,CFC-11,OFED,11.16007976,3.13015705,
2020,China,CFC-11,OFED,13.89287846,3.110918013,
2011,China,CFC-12,"Ma et al., 2024",15.11444,2.32187,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2012,China,CFC-12,"Ma et al., 2024",10.78942,1.93435,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2013,China,CFC-12,"Ma et al., 2024",15.48856,3.09154,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2014,China,CFC-12,"Ma et al., 2024",11.50223,1.85568,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2015,China,CFC-12,"Ma et al., 2024",13.46533,2.3462,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2016,China,CFC-12,"Ma et al., 2024",13.61092,1.85048,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2017,China,CFC-12,"Ma et al., 2024",9.31254,1.47922,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2018,China,CFC-12,"Ma et al., 2024",8.93562,1.25999,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2019,China,CFC-12,"Ma et al., 2024",5.09714,1.05546,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2020,China,CFC-12,"Ma et al., 2024",7.07741,1.14779,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2024,China,CFC-12,"Ma et al., 2026",3.6,0.8,"Ma, M. et al. Sustained Decline in CFC-12 Emissions from China: Evidence for Successful Phase-out under the Montreal Protocol and Global Implications. Environ. Sci. Technol. 60, 1791-1799 (2026)."
2011,China,CFC-113,OFED,7.444693024,1.447908322,
2012,China,CFC-113,OFED,7.676484823,1.443809691,
2013,China,CFC-113,OFED,7.216322171,1.629198968,
2014,China,CFC-113,OFED,8.058203736,1.554577723,
2015,China,CFC-113,OFED,8.195150031,1.795841751,
2016,China,CFC-113,OFED,8.708868759,1.340890899,
2017,China,CFC-113,OFED,6.708344256,0.896958843,
2018,China,CFC-113,OFED,7.811681008,0.877114518,
2019,China,CFC-113,OFED,6.155040087,0.801216724,
2020,China,CFC-113,OFED,9.288152481,0.879977123,
2011,China,HCFC-22,"Fang et al., 2019",139,35,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2012,China,HCFC-22,"Fang et al., 2019",154,51,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2013,China,HCFC-22,"Fang et al., 2019",172,37,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2014,China,HCFC-22,"Fang et al., 2019",159,34,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2015,China,HCFC-22,"Fang et al., 2019",146,44,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2016,China,HCFC-22,"Fang et al., 2019",147,36,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2017,China,HCFC-22,"Fang et al., 2019",147,26,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2018,China,HCFC-22,"Sun et al., 2024",172,40,"Sun, Y. et al. Emissions of HCFC-22 and HCFC-142b in China during 2018-2021 Inferred from Inverse Modeling. Environ. Sci. Technol. 58, 13273-13283 (2024)."
2019,China,HCFC-22,"Sun et al., 2024",154,39,"Sun, Y. et al. Emissions of HCFC-22 and HCFC-142b in China during 2018-2021 Inferred from Inverse Modeling. Environ. Sci. Technol. 58, 13273-13283 (2024)."
2020,China,HCFC-22,"Sun et al., 2024",160,22,"Sun, Y. et al. Emissions of HCFC-22 and HCFC-142b in China during 2018-2021 Inferred from Inverse Modeling. Environ. Sci. Technol. 58, 13273-13283 (2024)."
2021,China,HCFC-22,"Sun et al., 2024",155,33,"Sun, Y. et al. Emissions of HCFC-22 and HCFC-142b in China during 2018-2021 Inferred from Inverse Modeling. Environ. Sci. Technol. 58, 13273-13283 (2024)."
2022,China,HCFC-22,"Chen et al., 2025",150,13,"Chen, Y. et al. Emission estimates of ozone-depleting hydrochlorofluorocarbons for China inferred from new observations and inverse modeling. Atmos. Environ. 362, 121578 (2025)."
2022,Northern China,HCFC-22,"Chen et al., 2025",60,5.1,"Chen, Y. et al. Emission estimates of ozone-depleting hydrochlorofluorocarbons for China inferred from new observations and inverse modeling. Atmos. Environ. 362, 121578 (2025)."
2011,China,HCFC-141b,"Fang et al., 2019",24,5,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2012,China,HCFC-141b,"Fang et al., 2019",22,6,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2013,China,HCFC-141b,"Fang et al., 2019",18,6,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2014,China,HCFC-141b,"Fang et al., 2019",16,7,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2015,China,HCFC-141b,"Fang et al., 2019",15,6,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2016,China,HCFC-141b,"Fang et al., 2019",15,3,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2017,China,HCFC-141b,"Fang et al., 2019",15,2,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2018,China,HCFC-141b,"Sun et al., 2023",19.7,3.5,"Sun, Y. et al. Inverse Modeling Revealed Reversed Trends in HCFC-141b Emissions for China during 2018-2020. Environ. Sci. Technol. 57, 19557-19564 (2023)."
2019,China,HCFC-141b,"Sun et al., 2023",18.8,3.8,"Sun, Y. et al. Inverse Modeling Revealed Reversed Trends in HCFC-141b Emissions for China during 2018-2020. Environ. Sci. Technol. 57, 19557-19564 (2023)."
2020,China,HCFC-141b,"Sun et al., 2023",19.8,4,"Sun, Y. et al. Inverse Modeling Revealed Reversed Trends in HCFC-141b Emissions for China during 2018-2020. Environ. Sci. Technol. 57, 19557-19564 (2023)."
2022,China,HCFC-141b,"Chen et al., 2025",31,2.5,"Chen, Y. et al. Emission estimates of ozone-depleting hydrochlorofluorocarbons for China inferred from new observations and inverse modeling. Atmos. Environ. 362, 121578 (2025)."
2022,Northern China,HCFC-141b,"Chen et al., 2025",12.5,1,"Chen, Y. et al. Emission estimates of ozone-depleting hydrochlorofluorocarbons for China inferred from new observations and inverse modeling. Atmos. Environ. 362, 121578 (2025)."
2011,China,HCFC-142b,"Fang et al., 2019",11,3,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2012,China,HCFC-142b,"Fang et al., 2019",11,4,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2013,China,HCFC-142b,"Fang et al., 2019",11,4,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2014,China,HCFC-142b,"Fang et al., 2019",11,3,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2015,China,HCFC-142b,"Fang et al., 2019",9,3,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2016,China,HCFC-142b,"Fang et al., 2019",8,2,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2017,China,HCFC-142b,"Fang et al., 2019",6,1,"Fang, X. et al. Changes in HCFC Emissions in China During 2011-2017. Geophys. Res. Lett. 46, 10034-10042 (2019)."
2018,China,HCFC-142b,"Sun et al., 2024",8.3,1.8,"Sun, Y. et al. Emissions of HCFC-22 and HCFC-142b in China during 2018-2021 Inferred from Inverse Modeling. Environ. Sci. Technol. 58, 13273-13283 (2024)."
2019,China,HCFC-142b,"Sun et al., 2024",7.8,1.6,"Sun, Y. et al. Emissions of HCFC-22 and HCFC-142b in China during 2018-2021 Inferred from Inverse Modeling. Environ. Sci. Technol. 58, 13273-13283 (2024)."
2020,China,HCFC-142b,"Sun et al., 2024",7.4,1.7,"Sun, Y. et al. Emissions of HCFC-22 and HCFC-142b in China during 2018-2021 Inferred from Inverse Modeling. Environ. Sci. Technol. 58, 13273-13283 (2024)."
2021,China,HCFC-142b,"Sun et al., 2024",7.9,1.7,"Sun, Y. et al. Emissions of HCFC-22 and HCFC-142b in China during 2018-2021 Inferred from Inverse Modeling. Environ. Sci. Technol. 58, 13273-13283 (2024)."
2022,China,HCFC-142b,"Chen et al., 2025",8.8,0.8,"Chen, Y. et al. Emission estimates of ozone-depleting hydrochlorofluorocarbons for China inferred from new observations and inverse modeling. Atmos. Environ. 362, 121578 (2025)."
2022,Northern China,HCFC-142b,"Chen et al., 2025",3.5,0.3,"Chen, Y. et al. Emission estimates of ozone-depleting hydrochlorofluorocarbons for China inferred from new observations and inverse modeling. Atmos. Environ. 362, 121578 (2025)."
2011,China,HFC-134a,"Yao et al., 2019",19.48,2.53,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2012,China,HFC-134a,"Yao et al., 2019",15.49,5.81,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2013,China,HFC-134a,"Yao et al., 2019",23.65,8.91,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2014,China,HFC-134a,"Yao et al., 2019",27.23,6.07,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-134a,"Yao et al., 2019",32.41,8.14,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2016,China,HFC-134a,"Yao et al., 2019",29.76,5.95,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-134a,"Yao et al., 2019",24.52,2.68,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2018,China,HFC-134a,"Ma et al., 2025",30.53,4.79,"Ma, M. et al. Emissions of HFC-134a in China and Reconciliation of Discrepancies between Observation-Based and Inventory-Based Emission Estimates. Environ. Sci. Technol. 59, 8506-8515 (2025)."
2019,China,HFC-134a,"Ma et al., 2025",28.41,4.83,"Ma, M. et al. Emissions of HFC-134a in China and Reconciliation of Discrepancies between Observation-Based and Inventory-Based Emission Estimates. Environ. Sci. Technol. 59, 8506-8515 (2025)."
2020,China,HFC-134a,"Ma et al., 2025",33.07,7.49,"Ma, M. et al. Emissions of HFC-134a in China and Reconciliation of Discrepancies between Observation-Based and Inventory-Based Emission Estimates. Environ. Sci. Technol. 59, 8506-8515 (2025)."
2022,China,HFC-134a,"Hu et al., 2025",42.63158,5.26316,"Hu, X. et al. Sustained Increases in Hydrofluorocarbon Emissions from China and Implications for Global Emissions. Environ. Sci. Technol. 59, 3024-3033 (2025)."
2022,Northern China,HFC-134a,"Hu et al., 2025",16.2,2,"Hu, X. et al. Sustained Increases in Hydrofluorocarbon Emissions from China and Implications for Global Emissions. Environ. Sci. Technol. 59, 3024-3033 (2025)."
2011,China,HFC-32,"Yao et al., 2019",4.429,0.605,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2012,China,HFC-32,"Yao et al., 2019",4.742,1.226,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2013,China,HFC-32,"Yao et al., 2019",8.039,1.948,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2014,China,HFC-32,"Yao et al., 2019",7.257,1.387,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-32,"Yao et al., 2019",7.292,1.238,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2016,China,HFC-32,"Yao et al., 2019",10.117,1.456,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-32,"Yao et al., 2019",11.265,0.775,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2011,China,HFC-125,"Yao et al., 2019",4.676,1.188,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2012,China,HFC-125,"Yao et al., 2019",5.992,2.177,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2013,China,HFC-125,"Yao et al., 2019",9.848,2.791,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2014,China,HFC-125,"Yao et al., 2019",9.002,1.926,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-125,"Yao et al., 2019",11.308,3.353,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
